panel,kind,stage,condition,proposed,baseline,proposed_nmae,baseline_nmae,gain_pct,ci_low,ci_high,bonf4_low,bonf4_high,seed_gains,primary_family
electricity_transfer,shape,fixed1024,RAMP8_D32,MAG_ONLY,DELTA_XY_BUDGET,0.8988153746133499,0.9108071371461517,1.316608318460899,1.062600028787579,1.5867686751547803,0.9887215435827252,1.6575704088390166,"{""81551"": -3.2702136175082996, ""81552"": 6.417624291569068}",False
electricity_transfer,shape,fixed1024,RAMP8_D32,MAG_ONLY,DELTA_XY_DEFAULT,0.8988153746133499,0.9369274146800219,4.0677686947273255,3.56858593683471,4.587392090089062,3.4673968048022044,4.766762648101231,"{""81551"": 0.14931709129597515, ""81552"": 8.47561147529925}",False
electricity_transfer,shape,fixed1024,RAMP8_D32,MAG_ONLY,B0,0.8988153746133499,0.9182483895482787,2.1163135330396377,1.7434104756242672,2.5199069558073015,1.6516903174299997,2.635383579067516,"{""81551"": -3.9844806498335217, ""81552"": 8.690748607240451}",False
electricity_transfer,shape,fixed1024,RAMP8_D32,MAG_ONLY,PLAIN,0.8988153746133499,0.9369748165708585,4.072621940594356,3.8049746643771005,4.33489105409319,3.7650525647230153,4.427417771703617,"{""81551"": 4.637836614214885, ""81552"": 3.369749931383914}",False
electricity_transfer,shape,fixed1024,STEP12_D17,C3,DELTA_XY_BUDGET,0.5686495015201405,0.6438995773681677,11.686616747847445,10.935586479677609,12.349197114199757,10.663085332290958,12.501309280012206,"{""81551"": 5.3443721060509315, ""81552"": 16.951751169831297}",False
electricity_transfer,shape,fixed1024,STEP12_D17,C3,DELTA_XY_DEFAULT,0.5686495015201405,0.6488682141753603,12.362866742851464,11.61802612758362,13.055451602013378,11.435490034758113,13.237383119381992,"{""81551"": 5.543367718643744, ""81552"": 17.96678970665019}",False
electricity_transfer,shape,fixed1024,STEP12_D17,C3,B0,0.5686495015201405,0.6519150821998663,12.772458093583106,11.983320368333597,13.467092304044371,11.7187839294975,13.648920535811348,"{""81551"": 5.032145091434681, ""81552"": 19.017769037807785}",False
electricity_transfer,shape,fixed1024,STEP12_D17,C3,PLAIN,0.5686495015201405,0.6095586589635313,6.711274926838229,6.268390891432264,7.1390039497252245,6.151118724932231,7.252374379731017,"{""81551"": 8.62816644600648, ""81552"": 4.8219598579904215}",False
electricity_transfer,shape,fixed1024,STEP12_D17,MAG_ONLY,DELTA_XY_BUDGET,0.5550041283189964,0.6438995773681677,13.805793973730607,12.971763697712394,14.578453623219046,12.720730593614116,14.779188197641432,"{""81551"": 4.406468921587415, ""81552"": 21.60882155631785}",False
electricity_transfer,shape,fixed1024,STEP12_D17,MAG_ONLY,DELTA_XY_DEFAULT,0.5550041283189964,0.6488682141753603,14.465816602783487,13.626078241242935,15.256403740621558,13.402909968281271,15.455244511728347,"{""81551"": 4.607436298806345, ""81552"": 22.56694009810314}",False
electricity_transfer,shape,fixed1024,STEP12_D17,MAG_ONLY,B0,0.5550041283189964,0.6519150821998663,14.865579356416635,13.994033448187626,15.659103361964457,13.758415562577186,15.86121854208852,"{""81551"": 4.09114817955315, ""81552"": 23.558983993668935}",False
electricity_transfer,shape,fixed1024,STEP12_D17,MAG_ONLY,PLAIN,0.5550041283189964,0.6095586589635313,8.949840977945788,8.342663128795335,9.542803115662425,8.214062776085829,9.665698582347014,"{""81551"": 7.722801011670388, ""81552"": 10.15922871594811}",False
electricity_transfer,shape,fixed1024,STEP12_D63,C3,DELTA_XY_BUDGET,0.3893369606000414,0.3892082989321394,-0.033057277621018066,-0.7914760281463851,0.7375154456307369,-0.9182890040528865,0.9578093713167758,"{""81551"": 1.8032688800166952, ""81552"": -2.0552207815240475}",False
electricity_transfer,shape,fixed1024,STEP12_D63,C3,DELTA_XY_DEFAULT,0.3893369606000414,0.3885389194016353,-0.2053954336505459,-1.3193706813655242,0.9132680040945594,-1.5320836904981254,1.2717361337382416,"{""81551"": 1.1084368562200742, ""81552"": -1.636123288430702}",False
electricity_transfer,shape,fixed1024,STEP12_D63,C3,B0,0.3893369606000414,0.3914002322840019,0.5271513693081653,-0.39381338951404,1.4781294778224017,-0.5637879029684785,1.7794197999719394,"{""81551"": 2.611163075916134, ""81552"": -1.780573988635914}",False
electricity_transfer,shape,fixed1024,STEP12_D63,C3,PLAIN,0.3893369606000414,0.38379571198025414,-1.4438015972602525,-2.141392833688272,-0.7426823943322772,-2.3096009562157644,-0.5499056294858864,"{""81551"": 0.17637845168484434, ""81552"": -3.2188792182732406}",False
electricity_transfer,shape,fixed1024,STEP12_D63,MAG_ONLY,DELTA_XY_BUDGET,0.38938601956550145,0.3892082989321394,-0.04566208733207677,-0.8208598791721822,0.7553114186303822,-0.9611494237504737,0.9707285480154343,"{""81551"": 2.7890486393003067, ""81552"": -3.167247297931297}",False
electricity_transfer,shape,fixed1024,STEP12_D63,MAG_ONLY,DELTA_XY_DEFAULT,0.38938601956550145,0.3885389194016353,-0.218021959079584,-1.3509166110069986,0.927394228251214,-1.5526204393292338,1.2779536024623042,"{""81551"": 2.101191912311917, ""81552"": -2.7435831837311797}",False
electricity_transfer,shape,fixed1024,STEP12_D63,MAG_ONLY,B0,0.38938601956550145,0.3914002322840019,0.514617149495944,-0.42684213435357277,1.4927109964743053,-0.6136378927491344,1.7810605030538738,"{""81551"": 3.588832527077701, ""81552"": -2.8896078652350665}",False
electricity_transfer,shape,fixed1024,STEP12_D63,MAG_ONLY,PLAIN,0.38938601956550145,0.38379571198025414,-1.4565841698447546,-2.1971071380775347,-0.7194221886538389,-2.3817446758533474,-0.5282037500404972,"{""81551"": 1.1784902786099005, ""81552"": -4.343585331351751}",False
electricity_transfer,shape,fixed1024,STEP6_D17,C3,DELTA_XY_BUDGET,0.4018600482197265,0.4269951085838197,5.88649843026462,5.301062054006344,6.441368487863582,5.1676043169578785,6.6667321313392405,"{""81551"": 3.0559559354672694, ""81552"": 8.521212121006128}",False
electricity_transfer,shape,fixed1024,STEP6_D17,C3,DELTA_XY_DEFAULT,0.4018600482197265,0.4335753022929537,7.3148202643235845,6.614381371483452,8.013751554407216,6.481247505132813,8.18492618178497,"{""81551"": 4.229354431868959, ""81552"": 10.169622520013878}",False
electricity_transfer,shape,fixed1024,STEP6_D17,C3,B0,0.4018600482197265,0.4316182123899654,6.894557114599353,6.188933739328596,7.614838341677829,5.984412763184149,7.75745002327195,"{""81551"": 3.0818324316064793, ""81552"": 10.372604603129643}",False
