source,layer,arm,rank,holdout_direction_inner,holdout_direction_cosine,direction_defined,update_squared_norm,holdout_gradient_squared_norm,calibration_projection_energy,min_eigenvalue,eighth_eigenvalue,positive_eigenvalues
electricity,decoder.block.2.layer.0.SelfAttention.q,RANDOM_ORTHO,8,0.0,,False,0.0,0.0,0.0,,,
electricity,decoder.block.2.layer.0.SelfAttention.q,MEAN_SVD,8,0.0,,False,0.0,0.0,0.0,0.0,0.0,0.0
electricity,decoder.block.2.layer.0.SelfAttention.q,SECOND_MOMENT,8,0.0,,False,0.0,0.0,0.0,0.0,0.0,0.0
electricity,decoder.block.2.layer.0.SelfAttention.q,CROSS_BLOCK,8,0.0,,False,0.0,0.0,0.0,0.0,0.0,0.0
electricity,decoder.block.2.layer.0.SelfAttention.q,FULL_GRADIENT,512,0.0,,False,0.0,0.0,0.0,,,
electricity,decoder.block.2.layer.0.SelfAttention.v,RANDOM_ORTHO,8,1.068611909771315e-10,0.011260623965906548,True,1.1919419514087803e-09,7.555444205891594e-08,1.1919419514087805e-09,,,
electricity,decoder.block.2.layer.0.SelfAttention.v,MEAN_SVD,8,1.379325161305147e-08,0.15738739955060324,True,1.0165608845262596e-07,7.555444205891594e-08,1.0165608845262593e-07,-6.611425489671494e-24,8.13458539158665e-10,463.0
electricity,decoder.block.2.layer.0.SelfAttention.v,SECOND_MOMENT,8,1.4706891729388353e-08,0.17313270425614796,True,9.550444000953866e-08,7.555444205891594e-08,9.550444000953857e-08,-2.4528061000570118e-23,2.0030579198339366e-08,497.0
electricity,decoder.block.2.layer.0.SelfAttention.v,CROSS_BLOCK,8,1.025713866879965e-08,0.1260243185790077,True,8.767660711059717e-08,7.555444205891594e-08,8.767660711059717e-08,-7.498656798183895e-09,1.1796188441308733e-10,128.0
electricity,decoder.block.2.layer.0.SelfAttention.v,FULL_GRADIENT,512,1.4134361789950383e-08,0.1589631974495587,True,1.0464035990461257e-07,7.555444205891594e-08,1.0464035990461257e-07,,,
electricity,decoder.block.2.layer.1.EncDecAttention.q,RANDOM_ORTHO,8,1.978173776302225e-07,0.028792651290250083,True,1.5325393609265717e-06,3.0800227768600276e-05,1.5325393609265719e-06,,,
