source,seed,round,batch,baseline,wall_ratio,cuda_ratio
electricity,81551,4,32,TOKEN_GATE,1.0600866670368538,1.0599022778273517
electricity,81551,4,32,TOKEN_GATE_ENTROPY,1.0537142647474242,1.0540116840765887
electricity,81551,4,32,PETSA_XY_OFFLINE,1.008951247561195,1.0087532843710034
electricity,81551,5,1,B0,1.1715827837473056,1.1720982667646929
electricity,81551,5,1,PLAIN,1.0834530404609266,1.0841896345624495
electricity,81551,5,1,TOKEN_GATE,1.0977553773463555,1.0983220400508467
electricity,81551,5,1,TOKEN_GATE_ENTROPY,1.1195161367965234,1.1196913080140498
electricity,81551,5,1,PETSA_XY_OFFLINE,1.1604032355181715,1.160584206760164
electricity,81551,5,32,B0,1.0891018187293142,1.0898926310063626
electricity,81551,5,32,PLAIN,1.0995366266558582,1.0991203297244734
electricity,81551,5,32,TOKEN_GATE,1.0822084702723604,1.08243073648939
electricity,81551,5,32,TOKEN_GATE_ENTROPY,1.0982650687370819,1.0981581695270628
electricity,81551,5,32,PETSA_XY_OFFLINE,1.1022915792974661,1.1019618147262
electricity,81552,0,1,B0,1.0508539604467004,1.0518136530264128
electricity,81552,0,1,PLAIN,1.0553493189502694,1.055462991003345
electricity,81552,0,1,TOKEN_GATE,1.0276797750137934,1.0274098967948304
electricity,81552,0,1,TOKEN_GATE_ENTROPY,1.0134497645466525,1.0133579775295583
electricity,81552,0,1,PETSA_XY_OFFLINE,1.0177639654432618,1.0175384145338784
electricity,81552,0,32,B0,1.0352850484475338,1.0354157132535962
electricity,81552,0,32,PLAIN,1.0242013302695108,1.0250809271970305
electricity,81552,0,32,TOKEN_GATE,1.0026499181863051,1.0025554329176243
electricity,81552,0,32,TOKEN_GATE_ENTROPY,1.00341918081905,1.0034795307711684
electricity,81552,0,32,PETSA_XY_OFFLINE,1.026706061229249,1.0277017150614878
electricity,81552,1,1,B0,1.03313958274205,1.0339432457116735
electricity,81552,1,1,PLAIN,0.983425585438705,0.9832838585809875
electricity,81552,1,1,TOKEN_GATE,1.001043196200234,1.0027568915626022
electricity,81552,1,1,TOKEN_GATE_ENTROPY,1.0027900550007185,1.0026734038975098
electricity,81552,1,1,PETSA_XY_OFFLINE,0.9493412279356682,0.9491757128053376
electricity,81552,1,32,B0,1.081544010291225,1.081892411924927
electricity,81552,1,32,PLAIN,1.0429429373266825,1.0430933543684768
electricity,81552,1,32,TOKEN_GATE,1.0018052513218574,1.0021176709518256
electricity,81552,1,32,TOKEN_GATE_ENTROPY,1.0259893379121936,1.0264713385150472
electricity,81552,1,32,PETSA_XY_OFFLINE,1.039466782559952,1.0398312509471885
electricity,81552,2,1,B0,1.054813623329562,1.0549811722108633
electricity,81552,2,1,PLAIN,1.0162909663071007,1.0169518145419274
