scope,policy,variant,case,method,baseline,method_score,baseline_score,gain_percent,ci_low,ci_high,bootstrap_seed,replicates
T2,SELECTED,RAW,S2,PATH,LATEST,0.14131658669347363,0.13589768755905113,-3.9874844316742704,-6.465430335571925,-1.4893948383473754,61916,2000
T2,SELECTED,RAW,S3,PATH,LATEST,0.14043457045775537,0.13570339358467687,-3.4864101391291435,-6.226655231980051,-0.859006366514938,61916,2000
T2,SELECTED,RAW,MEAN,PATH,LATEST,0.1395206770069113,0.13362444087666814,-4.412543163181667,-7.0683627520915095,-1.7348273360920434,61916,2000
T2,SELECTED,RAW,WORST,PATH,LATEST,0.14131658669347363,0.13589768755905113,-3.9874844316742704,-6.620389476886566,-1.014197777881056,61916,2000
ALL,SELECTED,RAW,S0,PATH,LATEST,0.10092715249734714,0.09830507188413444,-2.6672892486190043,-4.718799201378086,-0.13669369674137358,61916,2000
ALL,SELECTED,RAW,S1,PATH,LATEST,0.1069693438594685,0.10588484852004343,-1.0242214581057714,-3.0388190830538098,1.2262312263097863,61916,2000
ALL,SELECTED,RAW,S2,PATH,LATEST,0.11051567460732542,0.10974944553923045,-0.6981621313258254,-3.0564223481170965,1.3387937148136209,61916,2000
ALL,SELECTED,RAW,S3,PATH,LATEST,0.1177542275340503,0.11891945433110836,0.9798453950299114,-0.7838496689720701,3.0839751333057204,61916,2000
ALL,SELECTED,RAW,MEAN,PATH,LATEST,0.10904159962454785,0.10821470506862917,-0.7641240212171431,-2.600254458075683,1.3437560536465374,61916,2000
ALL,SELECTED,RAW,WORST,PATH,LATEST,0.11804823294595639,0.1189842189892331,0.7866472135783089,-1.0907239759310845,2.9966703512324457,61916,2000
ADDITIONAL,SELECTED,RAW,S0,PATH,LATEST,0.10946811230352915,0.10604522850244572,-3.2277584285694623,-5.437901324634804,-0.8045381197822614,61916,2000
ADDITIONAL,SELECTED,RAW,S1,PATH,LATEST,0.11348446940421024,0.11127454873925627,-1.9860073035500334,-4.066227550517015,0.24091852864738486,61916,2000
ADDITIONAL,SELECTED,RAW,S2,PATH,LATEST,0.11675027325466295,0.11492809175445215,-1.5854970463652607,-3.5942449420115974,0.22673867747176615,61916,2000
ADDITIONAL,SELECTED,RAW,S3,PATH,LATEST,0.12190736265462933,0.12170508587514564,-0.16620240479612997,-1.7117148639337527,1.6626424517531952,61916,2000
ADDITIONAL,SELECTED,RAW,MEAN,PATH,LATEST,0.11540255440425792,0.11348823871782493,-1.6867965421445237,-3.5183918749711816,0.3024309761781786,61916,2000
ADDITIONAL,SELECTED,RAW,WORST,PATH,LATEST,0.12234837077248846,0.12180223286233277,-0.4483808689886355,-2.0292239091045374,1.5141742405472203,61916,2000
T0,SELECTED,RAW,S0,PATH,DROP,0.08384523288498315,0.08375647541384111,-0.1059708765244548,-3.0582693601059217,2.9677791894513086,61916,2000
T0,SELECTED,RAW,S1,PATH,DROP,0.09393909276998502,0.09558421311897922,1.7211214020733925,-0.4598416084739526,3.758707414805632,61916,2000
T0,SELECTED,RAW,S2,PATH,DROP,0.09804647731265038,0.09997903697565252,1.9329648708986542,-0.6562821771762224,4.193780982745866,61916,2000
T0,SELECTED,RAW,S3,PATH,DROP,0.10944795729289222,0.11359177980067817,3.6479950530374596,0.6621954536877793,6.396534331815581,61916,2000
T0,SELECTED,RAW,MEAN,PATH,DROP,0.0963196900651277,0.09822787632728776,1.942611744757805,-0.2443236307515046,4.17008587488442,61916,2000
T0,SELECTED,RAW,WORST,PATH,DROP,0.10944795729289222,0.11359177980067817,3.6479950530374596,0.6621954536877793,6.396534331815581,61916,2000
T1,SELECTED,RAW,S0,PATH,DROP,0.07990963802261487,0.08040819629920347,0.6200341501672687,-0.514566954670605,1.800890107792716,61916,2000
T1,SELECTED,RAW,S1,PATH,DROP,0.08966397451644778,0.09145071700616475,1.9537763597813278,0.9126875750774267,2.967269186198239,61916,2000
T1,SELECTED,RAW,S2,PATH,DROP,0.09218395981585224,0.09395329461917126,1.883206768310587,0.7808416077281933,2.669456864573162,61916,2000
T1,SELECTED,RAW,S3,PATH,DROP,0.10338015485150329,0.10677584175269031,3.1802014813912396,2.1118782940985104,4.364692105690012,61916,2000
T1,SELECTED,RAW,MEAN,PATH,DROP,0.09128443180160455,0.09314701241930745,1.9996139106624002,1.1184961254828942,2.8367145766450808,61916,2000
T1,SELECTED,RAW,WORST,PATH,DROP,0.10338015485150329,0.10677584175269031,3.1802014813912396,2.1118782940985104,4.364692105690012,61916,2000
