dataset,seed,role,channel,head_mse,lora_head_mse,lora_added_gain_percent
electricity,41000,matched_old_epoch,column_010,0.19502118726653012,0.1776726499635377,8.895719252945904
electricity,41000,matched_old_epoch,column_011,0.8520269307354225,0.7089797287999934,16.789047009577345
electricity,41000,matched_old_epoch,column_012,0.19261711979176815,0.17224977350470572,10.57400625088823
electricity,41000,matched_old_epoch,column_013,0.24007446667566162,0.21568000959323796,10.161204321399305
electricity,41000,matched_old_epoch,column_014,0.18718424941021902,0.15130791732256046,19.16631992312273
electricity,41000,matched_old_epoch,column_015,0.30697742458457944,0.28766963446749677,6.289644961094825
electricity,41000,matched_old_epoch,column_016,0.2747495743251097,0.24191223698233913,11.951733655432106
electricity,41000,matched_old_epoch,column_017,0.4358155749705204,0.4207844543623093,3.448963614764764
electricity,41000,matched_old_epoch,column_018,0.15536217624488777,0.13206244684604046,14.997041082973366
electricity,41000,matched_old_epoch,column_019,0.7696082900242334,0.6567101497745703,14.669558749959426
electricity,41000,matched_old_epoch,column_020,0.39420829391017925,0.3471383412208084,11.940376043964159
electricity,41000,matched_old_epoch,column_021,0.22621743094744234,0.20048532318461193,11.374944740137561
electricity,41000,matched_old_epoch,column_022,0.20196035289989295,0.17388052226194975,13.903635161432756
electricity,41000,matched_old_epoch,column_023,0.20185012570999378,0.17476927887264793,13.416314080603543
electricity,41000,matched_old_epoch,column_024,0.24245407114080186,0.2299861473801846,5.1423858143329255
electricity,41000,matched_old_epoch,column_025,0.78590999311547,0.7470486029667629,4.944763457537234
electricity,41000,matched_old_epoch,column_026,0.18056145107482974,0.16040543236674099,11.162968943872482
electricity,41000,matched_old_epoch,column_027,0.35642736833341476,0.3240337005291757,9.088434470031185
electricity,41000,matched_old_epoch,column_028,0.4218039717777272,0.3833042377316917,9.127399603132055
electricity,41000,matched_old_epoch,column_029,0.7863317688733086,0.743593458194219,5.4351499419039095
electricity,41000,matched_old_epoch,column_030,0.3795173215017395,0.3610052517501684,4.877793107919121
electricity,41000,matched_old_epoch,column_031,0.3194460478479981,0.2807516643353505,12.112963604752304
electricity,41001,selected,column_000,0.33463693380798126,0.3308218156316221,1.1400768387832279
electricity,41001,selected,column_001,0.16945495694230342,0.17336656187439595,-2.308344944683066
electricity,41001,selected,column_002,0.0005769212057198952,0.0005959104684359494,-3.291482879773667
electricity,41001,selected,column_003,0.16446619046178337,0.15596005143067757,5.171968176086842
electricity,41001,selected,column_004,0.27121808353792587,0.2694739894928097,0.6430596449783837
electricity,41001,selected,column_005,0.1266966580719404,0.1291153479510137,-1.9090399982767856
electricity,41001,selected,column_006,0.7178721921673324,0.7186053249824789,-0.10212581336143056
electricity,41001,selected,column_007,0.2019129822528578,0.20005916829975293,0.9181251905750821
electricity,41001,selected,column_008,0.23447372661687146,0.23173984469258296,1.1659651440417653
electricity,41001,selected,column_009,0.6130913798165922,0.6050986783350785,1.3036721351236091
electricity,41001,selected,column_010,0.16638226776790604,0.16924356209825706,-1.7197111018719593
electricity,41001,selected,column_011,0.5191034100653111,0.3934842526886998,24.199254896207776
electricity,41001,selected,column_012,0.1460425017229507,0.12640424525862592,13.446946082572207
electricity,41001,selected,column_013,0.21348697571684813,0.20477656253093005,4.080067721541418
electricity,41001,selected,column_014,0.13557110834527183,0.13328834242278145,1.6838144574850304
electricity,41001,selected,column_015,0.2758171005113822,0.2724203723215726,1.2315147188161377
electricity,41001,selected,column_016,0.2412131893469078,0.23371551730180065,3.1083176112414628
electricity,41001,selected,column_017,0.40995573540456437,0.4140060161711742,-0.9879800224316494
electricity,41001,selected,column_018,0.1108629459968184,0.11009381507042358,0.6937673534463785
electricity,41001,selected,column_019,0.6196317026236647,0.6214960736040877,-0.30088373021082254
electricity,41001,selected,column_020,0.33631702034916583,0.338479648651622,-0.64303266608717
electricity,41001,selected,column_021,0.1878758953773339,0.19252684430789452,-2.4755431883475807
electricity,41001,selected,column_022,0.17754142806300977,0.1661268025883087,6.429274338522273
electricity,41001,selected,column_023,0.18114117428255094,0.17020112747267435,6.039514126596026
