arm,seed,policy,condition,channel,origin,normalized_MSE,raw_MAE
I0,73101,selected,standard,3,23952,0.3481500793864655,36.83646774291992
I0,73101,selected,standard,3,24024,0.9378129824614844,57.43507766723633
I0,73101,selected,standard,3,24120,0.273728321647196,38.971927642822266
I0,73101,selected,standard,3,24192,0.529412030444027,47.92099253336588
I0,73101,selected,standard,3,24264,0.138824512692528,25.10777537027995
I0,73101,selected,standard,3,24360,0.6056809483263552,54.646307627360024
I0,73101,selected,standard,3,24432,1.2334042675559227,66.03797022501628
I0,73101,selected,standard,3,24528,1.4422520167610136,92.48508199055989
I0,73101,selected,standard,3,24600,0.24252219117145146,32.07950973510742
I0,73101,selected,standard,3,24696,2.605119425379573,84.94829940795898
I0,73101,selected,standard,3,24768,0.268714340247281,33.6192995707194
I0,73101,selected,standard,3,24864,0.7821867517187328,62.847615559895836
I0,73101,selected,standard,3,24936,1.690156844935241,66.89722315470378
I0,73101,selected,standard,3,25032,0.5486161343262168,48.61290740966797
I0,73101,selected,standard,3,25104,1.1143255462617503,70.18394978841145
I0,73101,selected,standard,3,25200,1.8232546109626764,74.37395350138347
I0,73101,selected,standard,3,25272,2.1003773507989334,75.82236353556316
I0,73101,selected,standard,3,25344,1.9883582709214496,99.41603978474934
I0,73101,selected,standard,3,25440,0.5382288930682103,49.96893056233724
I0,73101,selected,standard,3,25512,0.5327359880624017,48.54925028483073
I0,73101,selected,standard,3,25608,0.398675007912167,42.83623504638672
I0,73101,selected,standard,3,25680,0.4844720222396078,44.29950205485026
I0,73101,selected,standard,3,25776,1.0596915929000483,68.58484776814778
I0,73101,selected,standard,3,25848,0.8764458466989495,64.5793685913086
I0,73101,selected,standard,3,25944,1.0553285867295734,64.43465677897136
I0,73101,selected,standard,3,26016,1.4561800606992115,84.46471150716145
I0,73101,selected,standard,3,26112,1.5411067419136584,90.31822458902995
I0,73101,selected,standard,3,26184,2.0507122857338413,85.57143656412761
I0,73101,selected,standard,3,26280,1.3286637686449443,70.28012975056966
I0,73101,fixed512,standard,0,21048,0.4142309837062958,9.940796931584677
I0,73101,fixed512,standard,0,21120,0.24677891596298818,7.1379168430964155
I0,73101,fixed512,standard,0,21192,0.5185510014857714,7.619850476582845
I0,73101,fixed512,standard,0,21288,2.6410648287262286,27.68769069512685
