source,arm,seed,variant,step,origin,pinball
Electricity,PCA,92342,selected_raw,512,23859,0.17600427169627406
Electricity,PCA,92342,selected_raw,512,23923,0.17239910127732927
Electricity,PCA,92342,selected_raw,512,23987,0.18968361596440392
Electricity,PCA,92342,selected_raw,512,24051,0.19339929547272944
Electricity,PCA,92342,selected_raw,512,24115,0.16628480459178455
Electricity,PCA,92342,selected_raw,512,24179,0.21894273851795695
Electricity,PCA,92342,selected_raw,512,24243,0.20770308174568336
Electricity,PCA,92342,selected_raw,512,24307,0.22268051192259775
Electricity,PCA,92342,selected_raw,512,24371,0.22982677502947585
Electricity,PCA,92342,selected_raw,512,24435,0.176603121342218
Electricity,PCA,92342,selected_raw,512,24499,0.1812952825730727
Electricity,PCA,92342,selected_raw,512,24563,0.2170329746841387
Electricity,PCA,92342,selected_raw,512,24627,0.16332284677372821
Electricity,PCA,92342,selected_raw,512,24691,0.23885326661104578
Electricity,PCA,92342,selected_raw,512,24755,0.1660509360375133
Electricity,PCA,92342,selected_raw,512,24819,0.1848045324478749
Electricity,PCA,92342,selected_raw,512,24883,0.19046270622847083
Electricity,PCA,92342,selected_raw,512,24947,0.16786275442914855
Electricity,PCA,92342,selected_raw,512,25011,0.170288865849382
Electricity,PCA,92342,selected_raw,512,25075,0.15829814286693572
Electricity,PCA,92342,selected_raw,512,25139,0.14888275181686592
Electricity,PCA,92342,selected_raw,512,25203,0.14664110194205102
Electricity,PCA,92342,selected_raw,512,25267,0.153817623231984
Electricity,PCA,92342,selected_raw,512,25331,0.14270499379804855
Electricity,PCA,92342,selected_raw,512,25395,0.12728285232506192
Electricity,PCA,92342,selected_raw,512,25459,0.12312765454533668
Electricity,PCA,92342,selected_raw,512,25523,0.15734810159549123
Electricity,PCA,92342,selected_raw,512,25587,0.2431524711817756
Electricity,PCA,92342,selected_raw,512,25651,0.14638743985953948
Electricity,PCA,92342,selected_raw,512,25715,0.2820794212279554
Electricity,PCA,92342,selected_raw,512,25779,0.16780496707717296
Electricity,PCA,92342,selected_raw,512,25843,0.1887599327535862
Electricity,PCA,92342,selected_raw,512,25907,0.1537803251136492
Electricity,PCA,92342,selected_raw,512,25971,0.16157677094685058
Electricity,PCA,92342,selected_raw,512,26035,0.14520566015724556
Electricity,PCA,92342,selected_raw,512,26099,0.6825896050883796
Electricity,PCA,92342,selected_raw,512,26163,0.29243431342384163
Electricity,PCA,92342,selected_raw,512,26227,0.24041068399840715
Electricity,PCA,92342,selected_cal,512,21043,0.12327055505242492
Electricity,PCA,92342,selected_cal,512,21107,0.17135342817874488
Electricity,PCA,92342,selected_cal,512,21171,0.1854027625199425
Electricity,PCA,92342,selected_cal,512,21235,0.1226726412693317
Electricity,PCA,92342,selected_cal,512,21299,0.1523323252636403
Electricity,PCA,92342,selected_cal,512,21363,0.16412398044120813
Electricity,PCA,92342,selected_cal,512,21427,0.3011749526139746
Electricity,PCA,92342,selected_cal,512,21491,0.37111053469243016
Electricity,PCA,92342,selected_cal,512,21555,0.22676659658738013
Electricity,PCA,92342,selected_cal,512,21619,0.18495892007988948
Electricity,PCA,92342,selected_cal,512,21683,0.23408654554595792
Electricity,PCA,92342,selected_cal,512,21747,0.19398699140271006
Electricity,PCA,92342,selected_cal,512,21811,0.17601315446701488
Electricity,PCA,92342,selected_cal,512,21875,0.15617455724089668
Electricity,PCA,92342,selected_cal,512,21939,0.21161072000129838
Electricity,PCA,92342,selected_cal,512,22003,0.15030230057063337
Electricity,PCA,92342,selected_cal,512,22067,0.23158506067268395
Electricity,PCA,92342,selected_cal,512,22131,0.26339764118439635
Electricity,PCA,92342,selected_cal,512,22195,0.21165676636055236
